"","feature","treatment","time","ID","median_methylation"
"1","Exon","400","80","17005",0.901960784313726
"2","Exon","400","80","17007",0.904109589041096
"3","Exon","400","09","17013",0.896739130434783
"4","Exon","2800","80","17019",0.896551724137931
"5","Exon","400","09","17069",0.893129770992366
"6","Exon","400","09","17070",0.89261744966443
"7","Exon","2800","09","17072",0.882352941176471
"8","Exon","400","80","17079",0.903225806451613
"9","Exon","2800","09","17090",0.894230769230769
"10","Exon","2800","80","17094",0.882352941176471
"11","Exon","2800","09","17108",0.884832619387593
"12","Exon","2800","09","17122",0.871287128712871
"13","Exon","2800","80","17130",0.890756302521008
"14","Exon","2800","09","17142",0.884892086330935
"15","Exon","2800","80","17145",0.895238095238095
"16","Exon","400","09","17162",0.884615384615385
"17","Exon","400","09","17174",0.88135593220339
"18","Exon","400","09","17176",0.890909090909091
"19","Exon","2800","80","17178",0.878378378378378
"20","Exon","2800","09","17181",0.888888888888889
"21","Exon","400","80","17203",0.901639344262295
"22","Exon","400","80","17211",0.890625
"23","Exon","2800","80","17213",0.888888888888889
"24","gene","400","80","17005",0.901960784313726
"25","gene","400","80","17007",0.904109589041096
"26","gene","400","09","17013",0.896739130434783
"27","gene","2800","80","17019",0.896551724137931
"28","gene","400","09","17069",0.893129770992366
"29","gene","400","09","17070",0.89261744966443
"30","gene","2800","09","17072",0.882352941176471
"31","gene","400","80","17079",0.903225806451613
"32","gene","2800","09","17090",0.894230769230769
"33","gene","2800","80","17094",0.882352941176471
"34","gene","2800","09","17108",0.884832619387593
"35","gene","2800","09","17122",0.871287128712871
"36","gene","2800","80","17130",0.890756302521008
"37","gene","2800","09","17142",0.884892086330935
"38","gene","2800","80","17145",0.895238095238095
"39","gene","400","09","17162",0.884615384615385
"40","gene","400","09","17174",0.88135593220339
"41","gene","400","09","17176",0.890909090909091
"42","gene","2800","80","17178",0.878378378378378
"43","gene","2800","09","17181",0.888888888888889
"44","gene","400","80","17203",0.901639344262295
"45","gene","400","80","17211",0.890625
"46","gene","2800","80","17213",0.888888888888889
"47","Intron","400","80","17005",0.901960784313726
"48","Intron","400","80","17007",0.904109589041096
"49","Intron","400","09","17013",0.896739130434783
"50","Intron","2800","80","17019",0.896551724137931
"51","Intron","400","09","17069",0.893129770992366
"52","Intron","400","09","17070",0.89261744966443
"53","Intron","2800","09","17072",0.882352941176471
"54","Intron","400","80","17079",0.903225806451613
"55","Intron","2800","09","17090",0.894230769230769
"56","Intron","2800","80","17094",0.882352941176471
"57","Intron","2800","09","17108",0.884832619387593
"58","Intron","2800","09","17122",0.871287128712871
"59","Intron","2800","80","17130",0.890756302521008
"60","Intron","2800","09","17142",0.884892086330935
"61","Intron","2800","80","17145",0.895238095238095
"62","Intron","400","09","17162",0.884615384615385
"63","Intron","400","09","17174",0.88135593220339
"64","Intron","400","09","17176",0.890909090909091
"65","Intron","2800","80","17178",0.878378378378378
"66","Intron","2800","09","17181",0.888888888888889
"67","Intron","400","80","17203",0.901639344262295
"68","Intron","400","80","17211",0.890625
"69","Intron","2800","80","17213",0.888888888888889
"70","Intergenic","400","80","17005",0.901960784313726
"71","Intergenic","400","80","17007",0.904109589041096
"72","Intergenic","400","09","17013",0.896739130434783
"73","Intergenic","2800","80","17019",0.896551724137931
"74","Intergenic","400","09","17069",0.893129770992366
"75","Intergenic","400","09","17070",0.89261744966443
"76","Intergenic","2800","09","17072",0.882352941176471
"77","Intergenic","400","80","17079",0.903225806451613
"78","Intergenic","2800","09","17090",0.894230769230769
"79","Intergenic","2800","80","17094",0.882352941176471
"80","Intergenic","2800","09","17108",0.884832619387593
"81","Intergenic","2800","09","17122",0.871287128712871
"82","Intergenic","2800","80","17130",0.890756302521008
"83","Intergenic","2800","09","17142",0.884892086330935
"84","Intergenic","2800","80","17145",0.895238095238095
"85","Intergenic","400","09","17162",0.884615384615385
"86","Intergenic","400","09","17174",0.88135593220339
"87","Intergenic","400","09","17176",0.890909090909091
"88","Intergenic","2800","80","17178",0.878378378378378
"89","Intergenic","2800","09","17181",0.888888888888889
"90","Intergenic","400","80","17203",0.901639344262295
"91","Intergenic","400","80","17211",0.890625
"92","Intergenic","2800","80","17213",0.888888888888889
